,code,name,market,sector,nikkei225,stock
480,2790,(株)ナフコ,東証JQS,小売業,,0
481,2791,大黒天物産(株),東証1部,小売業,,0
482,2792,(株)ハニーズホールディングス,東証1部,小売業,,0
483,2795,日本プリメックス(株),東証JQS,卸売業,,0
484,2796,ファーマライズホールディングス(株),東証1部,小売業,,0
485,2798,(株)ワイズテーブルコーポレーション,東証2部,小売業,,0
486,2801,キッコーマン(株),東証1部,食料品,1.0,0
487,2802,味の素(株),東証1部,食料品,1.0,0
488,2804,ブルドックソース(株),東証2部,食料品,,0
489,2805,ヱスビー食品(株),東証2部,食料品,,0
490,2806,ユタカフーズ(株),東証2部,食料品,,0
491,2809,キユーピー(株),東証1部,食料品,,0
492,2810,ハウス食品グループ本社(株),東証1部,食料品,,0
493,2811,カゴメ(株),東証1部,食料品,,0
494,2812,焼津水産化学工業(株),東証1部,食料品,,0
495,2813,和弘食品(株),東証JQS,食料品,,0
496,2814,佐藤食品工業(株),東証JQS,食料品,,0
497,2815,アリアケジャパン(株),東証1部,食料品,,0
498,2816,(株)ダイショー,東証2部,食料品,,0
499,2818,(株)ピエトロ,東証1部,食料品,,0
